dataset,subset,strategy,strategy_label,top_k,question_count,universe_source_count,tp_sources,fp_sources,fn_sources,tn_sources,tp_chunks,fp_chunks,macro_precision_at_k,macro_recall_at_k,macro_f1_at_k,primary_source_hit_rate,source_micro_precision,source_micro_recall,source_micro_f1,source_json
old_60,core,structure_aware,Structure-aware,5,59,75,57,59,2,4307,213,82,0.7220338983050848,0.9661016949152542,0.7894807640570353,0.9661016949152542,0.49137931034482757,0.9661016949152542,0.6514285714285715,evaluation\results\original_source_level_at5.json
old_60,core,fixed_size,Fixed-size,5,59,75,58,51,1,4315,222,73,0.752542372881356,0.9830508474576272,0.8134920634920635,0.9830508474576272,0.5321100917431193,0.9830508474576272,0.6904761904761906,evaluation\results\original_source_level_at5.json
old_60,core,hybrid,Hybrid,5,59,75,59,35,0,4331,248,47,0.840677966101695,1.0,0.8891579230562282,1.0,0.6276595744680851,1.0,0.7712418300653594,evaluation\results\original_source_level_at5.json
expanded_50,core,structure_aware,Structure-aware,5,46,75,45,52,1,3352,165,65,0.717391304347826,0.9782608695652174,0.7980503795721188,0.9782608695652174,0.4639175257731959,0.9782608695652174,0.6293706293706294,evaluation\results\expanded_source_level_at5.json
expanded_50,core,fixed_size,Fixed-size,5,46,75,45,54,1,3350,156,74,0.6782608695652174,0.9782608695652174,0.7638026224982746,0.9782608695652174,0.45454545454545453,0.9782608695652174,0.6206896551724138,evaluation\results\expanded_source_level_at5.json
expanded_50,core,hybrid,Hybrid,5,46,75,45,29,1,3375,191,39,0.8304347826086957,0.9782608695652174,0.8793995859213249,0.9782608695652174,0.6081081081081081,0.9782608695652174,0.75,evaluation\results\expanded_source_level_at5.json
